ID	other_names	genome_data	library_prep	geographical_origin	ecological_origin	substrate	ecology_category	monosporic_derivative	ploidyFACS	ploidyBAF	aneuploidy_BAF	aneuploidy_RD	aneuploidy_binary	aneuploidy_type	RD_aneuploidy	Contaminated	Chr_end_bias	High_var	basename	avg_cov	population_old	pop_summary	population_new	heterozygosity	reference	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	ploidyCons	aneuploidy_num	lineage
A-19	A_19	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	2	No	No	No	No	No	No	Yes	No	A_19	228	1._Wine/European_	1._Wine/European_	TBD	0.001279788	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
A-9	A_9	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	Unknown	No	No	No	No	No	No	Yes	No	A_9	194	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000145108	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
AGME_5I	AGME_5I	ERP014555	NA	Italy	Wine	Wine	Wine	No	2	Unknown	No	+1@4,8,15	Yes	Gain	Yes	No	No	No	AGME_5I	301	1._Wine/European_	1._Wine/European_	TBD	0.000161615	Peter_et_al_2018	NA	NA	NA	+1	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	+1	NA	2	1	Wine
ATCC_38618:2-2	ATCC_38618:2-2	ERP014555	NA	NA	Fruit	Concentrated_orange_juice	Fruit	No	2	Unknown	No	+1@12,14	Yes	Gain	Yes	No	No	No	ATCC_38618_2_2	194	M3._Mosaic_region_3	Mosaics	TBD	0.000431494	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	+1	NA	NA	2	1	Clinical
ATCC_52922-1C	ATCC_52922_1C	ERP014555	NA	Philippines	Fermentation	Tapuy_(rice_wine)	Fermentation	No	2	Unknown	No	+1@8	Yes	Gain	Yes	No	No	No	ATCC_52922_1C	298	NA	NA	TBD	0.00024403	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Asian Ferm.
ATCC_66348-1D	ATCC_66348_1D	ERP014555	NA	Japan	Soil	Soil	NA	No	2	Unknown	No	No	No	No	No	No	No	No	ATCC_66348_1D	192	NA	NA	TBD	0.000361264	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	North American Oak
AY529516	AY529516	ERP014555	NA	Ghana	Fermentation	Cocoa_bean_fermentation	Cocoa	No	2	2	No	No	No	No	No	No	Yes	No	AY529516	212	12._West_African_cocoa_	12._West_African_cocoa_	TBD	0.002275701	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	West African Cocoa
B-11	B_11	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	Unknown	No	No	No	No	No	No	Yes	No	B_11	180	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000149902	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
B-13	B_13	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	Unknown	No	+1@3	Yes	Gain	Yes	No	Yes	No	B_13	211	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000151336	Peter_et_al_2018	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
B-17	B_17	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	Unknown	No	No	No	No	No	0.01	Yes	No	B_17	71	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000145175	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
B-24	B_24	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	2	No	No	No	No	No	No	Yes	No	B_24	198	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000470707	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
B-4	B_4	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	Unknown	No	No	No	No	No	No	Yes	No	B_4	361	1._Wine/European_	1._Wine/European_	TBD	0.000178588	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
B1	B1	ERP014555	NA	France	Unknown	Unknown	NA	No	2	2	No	No	No	No	No	No	Yes	No	B1	207	8._Mixed_origin_	8._Mixed_origin_	TBD	0.004042391	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mixed Origin
B10-1	B10_1	ERP014555	NA	Forcalquier	Bakery	Levain_from_organic_flour	Bread	No	2	2	No	No	No	No	No	No	Yes	No	B10_1	258	M3._Mosaic_region_3	Mosaics	TBD	0.003684962	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mosaic
B9b-1	B9b_1	ERP014555	NA	Gif-sur-Yvette	Bakery	Levain_from_organic_flour_(Renan)	Bread	No	2	2	No	No	No	No	No	No	Yes	No	B9b_1	217	M3._Mosaic_region_3	Mosaics	TBD	0.003459033	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mosaic
B9c-1	B9c_1	ERP014555	NA	Gif-sur-Yvette	Bakery	Levain_from_organic_flour_(Renan)	Bread	No	2	2	No	No	No	No	No	No	No	No	B9c_1	211	M3._Mosaic_region_3	Mosaics	TBD	0.003409809	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mosaic
Ba-215	Ba_215	ERP014555	NA	Italy	Wine	Wine	Wine	No	2	2	No	No	No	No	No	No	No	No	Ba_215	222	1._Wine/European_	1._Wine/European_	TBD	0.00018325	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
BJ20	BJ20	ERP014555	NA	Dongling_Mountain_Beijing_China	Tree	Bark_from_Quercus_wutaishanica	Tree	No	2	Unknown	No	No	No	No	No	No	Yes	No	BJ20	274	18._Far_East_Asia_	18._Far_East_Asia_	TBD	0.000363605	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Far East Asian
BJ6	BJ6	ERP014555	NA	Changping_Beijing_China	Fruit	Persimmon	Fruit	No	2	Unknown	No	No	No	No	No	No	Yes	No	BJ6	267	18._Far_East_Asia_	18._Far_East_Asia_	TBD	0.000384737	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Far East Asian
BMQ557	BMQ557	ERP014555	NA	Hai_Phong_North_Vietnam	Unknown	Unknown	NA	No	2	2	No	No	No	No	No	No	Yes	No	BMQ557	324	26._Asian_fermentation_	26._Asian_fermentation_	TBD	0.001116878	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
C-12	C_12	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	Unknown	No	No	No	No	No	No	Yes	No	C_12	196	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000151129	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
C-3	C_3	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	Unknown	No	No	No	No	No	No	Yes	No	C_3	208	1._Wine/European_	1._Wine/European_	TBD	0.000168676	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
C-6	C_6	ERP014555	NA	Georgia	Wine	Wine_conserved_in_amphora	Wine	No	2	Unknown	No	No	No	No	No	No	Yes	No	C_6	65	1._Wine/European_	1._Wine/European_	TBD	0.000165607	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
C10.4	C10_4	ERP014555	NA	Cameroon	Nature	Clay	NA	No	2	2	No	No	No	No	No	No	No	No	C10_4	221	1._Wine/European_	1._Wine/European_	TBD	0.000554122	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
C15.1	C15_1	ERP014555	NA	Cameroon	Nature	Palm_nuts_	Fruit	No	2	2	No	No	No	No	No	No	Yes	No	C15_1	289	1._Wine/European_	1._Wine/European_	TBD	0.000270822	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
C6.1	C6_1	ERP014555	NA	Cameroon	Palm_wine	Palm_wine	Fermentation	No	2	2	+1@1	+1@1	Yes	Gain	Yes	No	Yes	No	C6_1	341	1._Wine/European_	1._Wine/European_	TBD	0.000320982	Peter_et_al_2018	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
Ca6	Ca6	ERP014555	NA	Lebanon	Wine	Fermenting_grape_must_(sweet_wine)	Wine	No	2	Unknown	No	No	No	No	No	No	No	No	Ca6	239	1._Wine/European_	1._Wine/European_	TBD	0.000206346	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS1175	CBS1175	ERP014555	NA	Switzerland	Wine	Wine	Wine	No	2	2	+1@9,14	+1@9,14	Yes	Gain	Yes	0.03	No	No	CBS1175	174	1._Wine/European_	1._Wine/European_	TBD	0.000346702	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	+1	NA	NA	2	1	Wine
CBS1190	CBS1190	ERP014555	NA	Germany	Wine	Wine	Wine	No	2	2	+1@11,14	+1@11,14	Yes	Gain	Yes	No	No	No	CBS1190	215	1._Wine/European_	1._Wine/European_	TBD	0.000533233	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	+1	NA	NA	2	1	Wine
CBS1196	CBS1196	ERP014555	NA	Indonesia	Distillery	Arak_Distillery	Fermentation	No	2	2	+1@1	+1@1	Yes	Gain	Yes	No	No	No	CBS1196	221	26._Asian_fermentation_	26._Asian_fermentation_	TBD	0.000417209	Peter_et_al_2018	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Asian Ferm.
CBS1250	CBS1250	ERP014555	NA	Spain	Wine	Cherry_wine	Wine	No	2	Unknown	No	No	No	No	No	No	No	No	CBS1250	229	1._Wine/European_	1._Wine/European_	TBD	0.000147656	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS1257	CBS1257	ERP014555	NA	Germany	Wine	Wine	Wine	No	2	2	+1@14	+1@14	Yes	Gain	Yes	No	No	No	CBS1257	220	1._Wine/European_	1._Wine/European_	TBD	0.000402349	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	2	1	Wine
CBS1398	CBS1398	ERP014555	NA	NA	Tree	Leaf_of_Eucalyptus_sp.	Tree	No	2	2	+1@3,14,15	+1@2,3,6,12,14,15;+4@9	Yes	Gain	Yes	No	Yes	No	CBS1398	223	7._Mosaic_beer_	7._Mosaic_beer_	TBD	0.001578984	Peter_et_al_2018	NA	+1	+1	NA	NA	+1	NA	NA	+4	NA	NA	+1	NA	+1	+1	NA	2	1	Ale Beer
CBS1480	CBS1480	ERP014555	NA	NA	Distillery	Distillery	Fermentation	No	2	Unknown	No	No	No	No	No	No	No	No	CBS1480	128	26._Asian_fermentation_	26._Asian_fermentation_	TBD	0.000603574	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Ferm.
CBS1489	CBS1489	ERP014555	NA	Italy	Human_clinical	Tubercular_lung	Clinical	No	2	Unknown	No	+1@3,8,10;+2@2	Yes	Gain	Yes	No	No	No	CBS1489	247	1._Wine/European_	1._Wine/European_	TBD	0.000224211	Peter_et_al_2018	NA	+2	+1	NA	NA	NA	NA	+1	NA	+1	NA	NA	NA	NA	NA	NA	2	1	Wine
CBS1576	CBS1576	ERP014555	NA	Celebes_Sulavesi_Indonesia	Tree	Exudate_of_Arenga_sp.	Tree	No	2	2	No	No	No	No	No	No	No	No	CBS1576	226	24._Asian_islands_	24._Asian_islands_	TBD	0.000306773	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Islands
CBS1590	CBS1590	ERP014555	NA	Italy	Wine	Grape_must_/_juice	Fruit	No	2	Unknown	No	No	No	No	No	No	Yes	No	CBS1590	185	1._Wine/European_	1._Wine/European_	TBD	0.000150202	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS1592	CBS1592	ERP014555	NA	Java_Indonesia	Fermentation	Fermenting_cacao	SSF	No	2	2	+1@1	+1@1	Yes	Gain	Yes	No	No	No	CBS1592	214	24._Asian_islands_	24._Asian_islands_	TBD	0.000818941	Peter_et_al_2018	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Asian Islands
CBS1593	CBS1593	ERP014555	NA	Java_Indonesia	Fermentation	Fermenting_cacao	SSF	No	2	2	+1@2	+1@2;+2@1	Yes	Gain	Yes	No	No	No	CBS1593	207	24._Asian_islands_	24._Asian_islands_	TBD	0.001127267	Peter_et_al_2018	+2	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Asian Islands
CBS1602	CBS1602	ERP014555	NA	NA	Fruit	Must_of_Blanchard_pears	Fruit	No	2	2	+1@8,13	+1@8,13	Yes	Gain	Yes	No	No	No	CBS1602	262	1._Wine/European_	1._Wine/European_	TBD	0.000336481	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	+1	NA	NA	NA	2	1	Wine
CBS2087	CBS2087	ERP014555	NA	China	Flower	Lychee_flower	Flower	No	2	2	+1@1	+1@1	Yes	Gain	Yes	No	Yes	No	CBS2087	232	1._Wine/European_	1._Wine/European_	TBD	0.000478158	Peter_et_al_2018	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
CBS2165a	CBS2165a	ERP014555	NA	England	Beer	Brewers	Beer	No	2	2	No	No	No	No	No	No	Yes	No	CBS2165a	281	11._Ale_beer_	11._Ale_beer_	TBD	0.002401312	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mixed Origin
CBS2188	CBS2188	ERP014555	NA	Japan	Fruit	Fruit_of_Eryobotrya_japonica	Fruit	No	2	2	No	No	No	No	No	No	No	No	CBS2188	236	25._Sake_	25._Sake_	TBD	0.000613852	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Sake
CBS2270	CBS2270	ERP014555	NA	Japan	Wine	Japanese_wine	Wine	No	2	2	+1@4,11,15	+1@4,11,15	Yes	Gain	Yes	0.03	No	No	CBS2270	240	25._Sake_	25._Sake_	TBD	0.00043866	Peter_et_al_2018	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	+1	NA	2	1	Sake
CBS2271	CBS2271	ERP014555	NA	Belgium	Wine	Wine	Wine	No	2	Unknown	No	No	No	No	No	No	No	No	CBS2271	202	1._Wine/European_	1._Wine/European_	TBD	0.000156607	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS2272	CBS2272	ERP014555	NA	Delft_Netherlands	Dairy	Butter_milk	Dairy	No	2	2	+1@1,3	+1@1,3	Yes	Gain	Yes	No	No	No	CBS2272	200	5._French_dairy_	5._French_dairy_	TBD	0.000453518	Peter_et_al_2018	+1	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	French Dairy
CBS2421	CBS2421	ERP014555	NA	NA	Nature	Japanese_kefyr_grains	Dairy	No	2	2	+1@1	+1@1	Yes	Gain	Yes	No	No	No	CBS2421	119	5._French_dairy_	5._French_dairy_	TBD	0.002365325	Peter_et_al_2018	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	French Dairy
CBS2808	CBS2808	ERP014555	NA	Slovakia	Wine	Wine	Wine	No	2	2	No	No	No	No	No	No	No	No	CBS2808	197	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000483747	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS2909	CBS2909	ERP014555	NA	NA	Human	Human_feces	Clinical	No	2	2	No	No	No	No	No	No	No	No	CBS2909	217	2._Alpechin_	2._Alpechin_	TBD	0.000735574	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Alpechin
CBS2965	CBS2965	ERP014555	NA	Denmark	Distillery	Distillery	Fermentation	No	2	Unknown	No	+1@1	Yes	Gain	Yes	No	No	No	CBS2965	256	1._Wine/European_	1._Wine/European_	TBD	0.000179164	Peter_et_al_2018	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
CBS2992	CBS2992	ERP014555	NA	Pakistan	Palm_wine	Palm_wine	Fermentation	No	2	Unknown	No	No	No	No	No	No	No	No	CBS2992	189	24._Asian_islands_	24._Asian_islands_	TBD	0.000263768	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Asian Islands
CBS3012	CBS3012	ERP014555	NA	Cadiz_Spain	Wine	Wine	Wine	No	2	Unknown	No	+2@1,8	Yes	Gain	Yes	No	No	No	CBS3012	224	1._Wine/European_	1._Wine/European_	TBD	0.000158957	Peter_et_al_2018	+2	NA	NA	NA	NA	NA	NA	+2	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
CBS400	CBS400	ERP014555	NA	Ivory_Coast	Palm_wine	Palm_wine_from_Elaeis_guineensis	Fermentation	No	2	Unknown	No	No	No	No	No	No	Yes	No	CBS400	259	13._African_palm_wine_	13._African_palm_wine_	TBD	0.000261881	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	African Wine
CBS403	CBS403	ERP014555	NA	West_Africa	Beer	Ginger_beer_from_Zingiber_officinale	Beer	No	2	Unknown	No	+1@9	Yes	Gain	Yes	No	Yes	No	CBS403	275	13._African_palm_wine_	13._African_palm_wine_	TBD	0.000270561	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	2	1	African Wine
CBS420	CBS420	ERP014555	NA	Italy	Dairy	Stracchino_cheese	Dairy	No	2	2	+1@9,16	+1@9,16	Yes	Gain	Yes	No	Yes	No	CBS420	144	5._French_dairy_	5._French_dairy_	TBD	0.001402613	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	+1	2	1	French Dairy
CBS423	CBS423	ERP014555	NA	Switzerland	Wine	Wine	Wine	No	2	2	+1@8,14	+1@1,8,14	Yes	Gain	Yes	No	Yes	No	CBS423	218	1._Wine/European_	1._Wine/European_	TBD	0.000467913	Peter_et_al_2018	+1	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	+1	NA	NA	2	1	Wine
CBS435	CBS435	ERP014555	NA	Japan	Sake	Moto_(sake_yeast_starter)	Commercial	No	2	2	No	No	No	No	No	No	No	No	CBS435	233	25._Sake_	25._Sake_	TBD	0.000414388	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Sake
CBS436a	CBS436a	ERP014555	NA	Japan	Sake	Moto_(sake_yeast_starter)	Commercial	No	2	Unknown	No	+1@8	Yes	Gain	Yes	No	No	No	CBS436a	206	25._Sake_	25._Sake_	TBD	0.000245971	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Sake
CBS4454	CBS4454	ERP014555	NA	South_Africa	Beer	Kaffir_beer	Beer	No	2	2	+1@1,3,4	+1@1,3,12	Yes	Gain	Yes	No	No	No	CBS4454	192	6._African_beer_	6._African_beer_	TBD	0.001616453	Peter_et_al_2018	+1	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	2	1	African Beer
CBS4507	CBS4507	ERP014555	NA	NA	Beer	Brewer's_yeast_English_top_yeast	Commercial	No	2	2	No	No	No	No	No	No	No	No	CBS4507	240	1._Wine/European_	1._Wine/European_	TBD	0.00030732	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS459	CBS459	ERP014555	NA	Italy	Wine	Grape_must	Wine	No	2	Unknown	No	+1@14	Yes	Gain	Yes	No	No	No	CBS459	305	1._Wine/European_	1._Wine/European_	TBD	0.000146437	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	2	1	Wine
CBS462	CBS462	ERP014555	NA	Spain	Wine	Grape_must	Wine	No	2	2	No	+1@1,9	Yes	Gain	Yes	No	Yes	No	CBS462	224	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000326508	Peter_et_al_2018	+1	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	2	1	Wine
CBS4667	CBS4667	ERP014555	NA	Former_Czechoslovakia	Wine	Grapes	Wine	No	2	2	No	No	No	No	No	No	No	No	CBS4667	233	1._Wine/European_	1._Wine/European_	TBD	0.00030996	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS4903	CBS4903	ERP014555	NA	Spain	Industrial	Alpechin_(waste_from_olive_oil_production)	SSF	No	2	2	No	No	No	No	No	No	Yes	No	CBS4903	248	2._Alpechin_	2._Alpechin_	TBD	0.001150036	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Alpechin
CBS5112	CBS5112	ERP014555	NA	Spain	Wine	Grape_must	Wine	No	2	Unknown	No	No	No	No	No	No	No	No	CBS5112	283	1._Wine/European_	1._Wine/European_	TBD	0.000169023	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS5155	CBS5155	ERP014555	NA	South_Armenia	Wine	Fermenting_Grape_must	Wine	No	2	2	No	No	No	No	No	No	No	No	CBS5155	181	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000311885	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS5378	CBS5378	ERP014555	NA	Spain	Industrial	Alpechin_(waste_from_olive_oil_production)	SSF	No	2	2	No	+1@8	Yes	Gain	Yes	No	Yes	No	CBS5378	245	2._Alpechin_	2._Alpechin_	TBD	0.001126351	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Alpechin
CBS5835	CBS5835	ERP014555	NA	Spain	Wine	Wine	Wine	No	2	2	No	No	No	No	No	No	No	No	CBS5835	282	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000400767	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS6006	CBS6006	ERP014555	NA	Spain	Wine	Wine	Wine	No	2	2	No	No	No	No	No	No	No	No	CBS6006	224	1._Wine/European_(subclade_4)	1._Wine/European_	TBD	0.000354552	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Wine
CBS6216	CBS6216	ERP014555	NA	Rotterdam_Netherlands	Water	Tapwater	Water	No	2	2	+1@7	+1@7	Yes	Gain	Yes	No	No	No	CBS6216	223	8._Mixed_origin_	8._Mixed_origin_	TBD	0.002973796	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	+1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	Mixed Origin
CBS6308	CBS6308	ERP014555	NA	South_Yorkshire_UK	Beer	Brewer_yeast_Yorkshire_type	Commercial	No	2	2	No	No	No	No	No	0.05	No	No	CBS6308	56	11._Ale_beer_	11._Ale_beer_	TBD	0.002645758	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mixed Origin
CBS6505	CBS6505	ERP014555	NA	UK	Beer	Brewery_(Killer_strain_responsible_for_death_of_brewing_yeast)	Beer	No	2	Unknown	No	No	No	No	No	No	No	No	CBS6505	255	7._Mosaic_beer_	7._Mosaic_beer_	TBD	0.00030412	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ale Beer
CBS7539	CBS7539	ERP014555	NA	Plovdiv_Bulgaria	Beer	Turbid_beer	Beer	No	2	2	No	No	No	No	No	No	Yes	No	CBS7539	226	7._Mosaic_beer_	7._Mosaic_beer_	TBD	0.001527447	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Ale Beer
CBS8291	CBS8291	ERP014555	NA	Sweden	Water	Seawater	Water	No	2	2	No	No	No	No	No	No	No	No	CBS8291	201	8._Mixed_origin_	8._Mixed_origin_	TBD	0.002460875	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mixed Origin
CBS8292	CBS8292	ERP014555	NA	Sweden	Water	Seawater	Water	No	2	2	No	No	No	No	No	No	No	No	CBS8292	211	8._Mixed_origin_	8._Mixed_origin_	TBD	0.00339089	Peter_et_al_2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	Mixed Origin
